time,address,binaryaddress,bank,row,column,delay,command
12780000, 133004416, 00000111111011010111110010000000, 0, 16235, 912, 71250, R
12785000, 124589184, 00000111011011010001010010000000, 0, 15208, 656, 113750, R
12790000, 96486464, 00000101110000000100010001000000, 0, 11778, 136, 156250, R
12795000, 95006272, 00000101101010011010111001000000, 0, 11597, 456, 198750, R
12800000, 96224512, 00000101101111000100010100000000, 0, 11746, 160, 241250, R
12805000, 60724608, 00000011100111101001010110000000, 0, 7412, 688, 283750, R
12810000, 87734016, 00000101001110101011011100000000, 0, 10709, 736, 326250, R
12815000, 63734656, 00000011110011001000001110000000, 0, 7780, 112, 368750, R
12820000, 99694208, 00000101111100010011011010000000, 0, 12169, 720, 411250, R
12852500, 102512256, 00000110000111000011011010000000, 0, 12513, 720, 426250, R
12900000, 122929408, 00000111010100111100000100000000, 0, 15006, 32, 426250, R
12947500, 131116544, 00000111110100001010111000000000, 0, 16005, 448, 426250, R
12995000, 69932544, 00000100001010110001011000000000, 0, 8536, 704, 426250, R
13042500, 105279168, 00000110010001100110111011000000, 0, 12851, 472, 426250, R
13090000, 105279232, 00000110010001100110111100000000, 0, 12851, 480, 383750, R
13137500, 105279296, 00000110010001100110111101000000, 0, 12851, 488, 341250, R
13185000, 105279360, 00000110010001100110111110000000, 0, 12851, 496, 298750, R
13232500, 105279424, 00000110010001100110111111000000, 0, 12851, 504, 256250, R
13280000, 105279488, 00000110010001100111000000000000, 0, 12851, 512, 213750, R
13327500, 105279552, 00000110010001100111000001000000, 0, 12851, 520, 171250, R
13375000, 105279616, 00000110010001100111000010000000, 0, 12851, 528, 128750, R
13422500, 105279680, 00000110010001100111000011000000, 0, 12851, 536, 86250, R
13470000, 105279744, 00000110010001100111000100000000, 0, 12851, 544, 43750, R
13475000, 105279808, 00000110010001100111000101000000, 0, 12851, 552, 43750, R
13480000, 105279872, 00000110010001100111000110000000, 0, 12851, 560, 43750, R
13485000, 105279936, 00000110010001100111000111000000, 0, 12851, 568, 43750, R
13490000, 105280000, 00000110010001100111001000000000, 0, 12851, 576, 43750, R
13495000, 105280064, 00000110010001100111001001000000, 0, 12851, 584, 43750, R
13500000, 105280128, 00000110010001100111001010000000, 0, 12851, 592, 43750, R
13505000, 105280192, 00000110010001100111001011000000, 0, 12851, 600, 43750, R
13510000, 105280256, 00000110010001100111001100000000, 0, 12851, 608, 43750, R
13515000, 105280320, 00000110010001100111001101000000, 0, 12851, 616, 43750, R
13520000, 105280384, 00000110010001100111001110000000, 0, 12851, 624, 43750, R
13525000, 105280448, 00000110010001100111001111000000, 0, 12851, 632, 43750, R
13530000, 105280512, 00000110010001100111010000000000, 0, 12851, 640, 43750, R
13535000, 105280576, 00000110010001100111010001000000, 0, 12851, 648, 43750, R
13540000, 105280640, 00000110010001100111010010000000, 0, 12851, 656, 43750, R
13545000, 105280704, 00000110010001100111010011000000, 0, 12851, 664, 43750, R
13550000, 105280768, 00000110010001100111010100000000, 0, 12851, 672, 43750, R
13555000, 105280832, 00000110010001100111010101000000, 0, 12851, 680, 43750, R
13560000, 105280896, 00000110010001100111010110000000, 0, 12851, 688, 43750, R
