time,address,binaryaddress,bank,row,column,delay,command
4705000, 15476288, 00000000111011000010011001000000, 0, 1889, 200, 426250, R
4752500, 898880, 00000000000011011011011101000000, 0, 109, 744, 426250, R
4800000, 124785856, 00000111011100000001010011000000, 0, 15232, 664, 426250, R
4847500, 41339392, 00000010011101101100101000000000, 0, 5046, 320, 426250, R
4895000, 50762560, 00000011000001101001001101000000, 0, 6196, 616, 426250, R
4942500, 85610944, 00000101000110100101000111000000, 0, 10450, 568, 426250, R
4990000, 66512640, 00000011111101101110011100000000, 0, 8119, 224, 426250, R
5037500, 66512704, 00000011111101101110011101000000, 0, 8119, 232, 383750, R
5085000, 66512768, 00000011111101101110011110000000, 0, 8119, 240, 341250, R
5132500, 66512832, 00000011111101101110011111000000, 0, 8119, 248, 298750, R
5180000, 66512896, 00000011111101101110100000000000, 0, 8119, 256, 256250, R
5227500, 66512960, 00000011111101101110100001000000, 0, 8119, 264, 213750, R
5275000, 66513024, 00000011111101101110100010000000, 0, 8119, 272, 171250, R
5322500, 66512448, 00000011111101101110011001000000, 0, 8119, 200, 128750, R
5370000, 13059392, 00000000110001110100010101000000, 0, 1594, 168, 113750, R
5417500, 128373632, 00000111101001101101001110000000, 0, 15670, 624, 113750, R
5422500, 45633920, 00000010101110000101000110000000, 0, 5570, 560, 156250, R
5427500, 126366464, 00000111100010000011001100000000, 0, 15425, 608, 198750, R
5432500, 39962816, 00000010011000011100100011000000, 0, 4878, 280, 241250, R
5437500, 2710272, 00000000001010010101101100000000, 0, 330, 864, 283750, R
5442500, 37588544, 00000010001111011000111001000000, 0, 4588, 456, 326250, R
5447500, 45275328, 00000010101100101101100011000000, 0, 5526, 792, 368750, R
5452500, 36490240, 00000010001011001100110000000000, 0, 4454, 384, 411250, R
5485000, 30123200, 00000001110010111010010011000000, 0, 3677, 152, 426250, R
5532500, 126019264, 00000111100000101110011011000000, 0, 15383, 216, 426250, R
5580000, 22822272, 00000001010111000011110110000000, 0, 2785, 944, 426250, R
5627500, 91071872, 00000101011011011010010110000000, 0, 11117, 176, 426250, R
5675000, 91071936, 00000101011011011010010111000000, 0, 11117, 184, 383750, R
5722500, 91072000, 00000101011011011010011000000000, 0, 11117, 192, 341250, R
5770000, 91072064, 00000101011011011010011001000000, 0, 11117, 200, 298750, R
5817500, 91072128, 00000101011011011010011010000000, 0, 11117, 208, 256250, R
5865000, 91072192, 00000101011011011010011011000000, 0, 11117, 216, 213750, R
5912500, 91072256, 00000101011011011010011100000000, 0, 11117, 224, 171250, R
5960000, 91072320, 00000101011011011010011101000000, 0, 11117, 232, 128750, R
6007500, 91072384, 00000101011011011010011110000000, 0, 11117, 240, 86250, R
6055000, 91072448, 00000101011011011010011111000000, 0, 11117, 248, 43750, R
6060000, 91072512, 00000101011011011010100000000000, 0, 11117, 256, 43750, R
6065000, 91072576, 00000101011011011010100001000000, 0, 11117, 264, 43750, R
6070000, 91072640, 00000101011011011010100010000000, 0, 11117, 272, 43750, R
6075000, 91071040, 00000101011011011010001001000000, 0, 11117, 72, 43750, R
6080000, 108429888, 00000110011101101000001001000000, 0, 13236, 72, 71250, R
6085000, 92123520, 00000101011111011011000110000000, 0, 11245, 560, 113750, R
6090000, 28240960, 00000001101011101110110001000000, 0, 3447, 392, 156250, R
6095000, 28241024, 00000001101011101110110010000000, 0, 3447, 400, 156250, R
6100000, 28241088, 00000001101011101110110011000000, 0, 3447, 408, 156250, R
6105000, 28241152, 00000001101011101110110100000000, 0, 3447, 416, 156250, R
6110000, 28241216, 00000001101011101110110101000000, 0, 3447, 424, 156250, R
6115000, 28241280, 00000001101011101110110110000000, 0, 3447, 432, 156250, R
6120000, 28241344, 00000001101011101110110111000000, 0, 3447, 440, 156250, R
6152500, 28241408, 00000001101011101110111000000000, 0, 3447, 448, 128750, R
6200000, 28241472, 00000001101011101110111001000000, 0, 3447, 456, 86250, R
6247500, 28241536, 00000001101011101110111010000000, 0, 3447, 464, 43750, R
6252500, 28241600, 00000001101011101110111011000000, 0, 3447, 472, 43750, R
6257500, 28240384, 00000001101011101110101000000000, 0, 3447, 320, 43750, R
6262500, 123967360, 00000111011000111001011110000000, 0, 15132, 752, 71250, R
6267500, 19006592, 00000001001000100000010010000000, 0, 2320, 144, 113750, R
6272500, 102689536, 00000110000111101110101100000000, 0, 12535, 352, 156250, R
6277500, 47123200, 00000010110011110000101100000000, 0, 5752, 352, 198750, R
6282500, 80042240, 00000100110001010101100100000000, 0, 9770, 800, 241250, R
6287500, 87402304, 00000101001101011010011101000000, 0, 10669, 232, 283750, R
6292500, 106424192, 00000110010101111110011110000000, 0, 12991, 240, 326250, R
6297500, 53803712, 00000011001101001111101011000000, 0, 6567, 856, 368750, R
6302500, 30890496, 00000001110101110101101000000000, 0, 3770, 832, 411250, R
6335000, 20879168, 00000001001111101001011101000000, 0, 2548, 744, 426250, R
6382500, 57612544, 00000011011011110001100100000000, 0, 7032, 800, 426250, R
6430000, 42169600, 00000010100000110111010100000000, 0, 5147, 672, 426250, R
6477500, 86649984, 00000101001010100010110010000000, 0, 10577, 400, 426250, R
6525000, 65168128, 00000011111000100110001100000000, 0, 7955, 96, 426250, R
6572500, 71485824, 00000100010000101100100110000000, 0, 8726, 304, 426250, R
6620000, 123579264, 00000111010111011010101110000000, 0, 15085, 368, 426250, R
6667500, 61628480, 00000011101011000110000001000000, 0, 7523, 8, 426250, R
6715000, 94919872, 00000101101010000101110011000000, 0, 11586, 920, 426250, R
6762500, 120797760, 00000111001100110011101001000000, 0, 14745, 840, 426250, R
6810000, 129317824, 00000111101101010011101111000000, 0, 15785, 888, 426250, R
6857500, 19598080, 00000001001010110000101100000000, 0, 2392, 352, 426250, R
6905000, 68499456, 00000100000101010011100000000000, 0, 8361, 768, 426250, R
6952500, 35048256, 00000010000101101100101101000000, 0, 4278, 360, 426250, R
7000000, 13408960, 00000000110011001001101011000000, 0, 1636, 856, 426250, R
7047500, 46641984, 00000010110001111011001101000000, 0, 5693, 616, 426250, R
7095000, 45247872, 00000010101100100110110110000000, 0, 5523, 432, 426250, R
7142500, 7757504, 00000000011101100101111011000000, 0, 946, 984, 426250, R
7190000, 105912128, 00000110010100000001011101000000, 0, 12928, 744, 426250, R
7237500, 3745216, 00000000001110010010010111000000, 0, 457, 184, 426250, R
7285000, 380288, 00000000000001011100110110000000, 0, 46, 432, 426250, R
7332500, 114874048, 00000110110110001101011011000000, 0, 14022, 728, 426250, R
7380000, 11080448, 00000000101010010001001100000000, 0, 1352, 608, 426250, R
7427500, 65791872, 00000011111010111110011110000000, 0, 8031, 240, 426250, R
7475000, 89260160, 00000101010100100000000010000000, 0, 10896, 16, 426250, R
7522500, 113509632, 00000110110001000000010100000000, 0, 13856, 160, 426250, R
7570000, 77950400, 00000100101001010110110111000000, 0, 9515, 440, 426250, R
7617500, 81220480, 00000100110101110101001110000000, 0, 9914, 624, 426250, R
7665000, 92771072, 00000101100001111001001100000000, 0, 11324, 608, 426250, R
7712500, 53415744, 00000011001011110000111101000000, 0, 6520, 488, 426250, R
7760000, 55514368, 00000011010011110001010100000000, 0, 6776, 672, 426250, R
7807500, 34593664, 00000010000011111101101110000000, 0, 4222, 880, 426250, R
7855000, 119651392, 00000111001000011011110001000000, 0, 14605, 904, 426250, R
7902500, 28312000, 00000001101100000000000111000000, 0, 3456, 56, 426250, R
7950000, 91702272, 00000101011101110100010000000000, 0, 11194, 128, 426250, R
7997500, 131561536, 00000111110101110111100001000000, 0, 16059, 776, 426250, R
8045000, 23868800, 00000001011011000011010110000000, 0, 2913, 688, 426250, R
8092500, 85343104, 00000101000101100011101110000000, 0, 10417, 880, 426250, R
8140000, 130039680, 00000111110000000011111110000000, 0, 15873, 1008, 426250, R
8187500, 123538560, 00000111010111010000110010000000, 0, 15080, 400, 426250, R
8235000, 69878336, 00000100001010100100001001000000, 0, 8530, 72, 426250, R
8282500, 31935936, 00000001111001110100110111000000, 0, 3898, 440, 426250, R
8330000, 3222464, 00000000001100010010101111000000, 0, 393, 376, 426250, R
8377500, 97798016, 00000101110101000100011110000000, 0, 11938, 240, 426250, R
8425000, 129267072, 00000111101101000111010110000000, 0, 15779, 688, 426250, R
8472500, 32906816, 00000001111101100001111001000000, 0, 4016, 968, 426250, R
8520000, 127146560, 00000111100101000001101001000000, 0, 15520, 840, 426250, R
8567500, 8621248, 00000000100000111000110011000000, 0, 1052, 408, 426250, R
8615000, 116180480, 00000110111011001100011000000000, 0, 14182, 192, 426250, R
8662500, 130960832, 00000111110011100100110111000000, 0, 15986, 440, 426250, R
